"","pit_id","height","site_name","latitude","longitude","date","grain_size","density","temperature"
"33","COGM2N48_20200201",97,"Grand Mesa",39.0322282015729,-108.148772864925,"2020-02-01",1.15625,255.816666666667,-3.88181818181818
"34","COGM2N49_20200210",95,"Grand Mesa",39.0297447310763,-108.14889582946,"2020-02-10",1.69444444444444,330.185185185185,-3.87272727272727
"35","COGM2N8_20200208",85,"Grand Mesa",39.0356437754378,-108.203481144833,"2020-02-08",1.20833333333333,291.97619047619,-4.53
"36","COGM2S10_20200205",77,"Grand Mesa",39.0194743669932,-108.192315910525,"2020-02-05",1.41666666666667,294.642857142857,-8.7
"37","COGM2S11_20200201",100,"Grand Mesa",39.0215803079629,-108.191851432711,"2020-02-01",2.85,279.055555555556,-4.37272727272727
"38","COGM2S16_20200208",94,"Grand Mesa",39.0187720237461,-108.182250246073,"2020-02-08",2.0625,285.703703703704,-3.85454545454545
"39","COGM2S20_20200206",92,"Grand Mesa",39.0191612196284,-108.176368081337,"2020-02-06",1.46428571428571,250.222222222222,-5.27272727272727
"40","COGM2S25_20200129",103,"Grand Mesa",39.0162463741449,-108.168365755808,"2020-01-29",1,258.283333333333,-3.59166666666667
"41","COGM2S27_20200204",70,"Grand Mesa",39.0179582033088,-108.167258069364,"2020-02-04",1.625,272.5,-6.3625
"42","COGM2S3_20200129",66,"Grand Mesa",39.0210889176264,-108.202888617219,"2020-01-29",1.35714285714286,230.666666666667,-5.62222222222222
"43","COGM2S35_20200130",99,"Grand Mesa",39.0165603444232,-108.162382815446,"2020-01-30",1.82142857142857,264.944444444444,-4.30909090909091
"44","COGM2S36_20200129",95,"Grand Mesa",39.0157410531104,-108.162034500527,"2020-01-29",1.25,250.481481481481,-3.85454545454545
"45","COGM2S37_20200201",104,"Grand Mesa",39.0192596377805,-108.159283748669,"2020-02-01",1.27777777777778,269.318181818182,-5.47692307692308
"46","COGM2S4_20200205",74,"Grand Mesa",39.0179514619434,-108.201291605332,"2020-02-05",1.89285714285714,351.25,-11.52
"47","COGM2S45_20200210",91,"Grand Mesa",39.0156487850609,-108.143503645668,"2020-02-10",2,268.625,-3.41
"48","COGM2S46_20200204",89,"Grand Mesa",39.0161193715382,-108.141752488653,"2020-02-04",1.21428571428571,272.481481481481,-5.12
"49","COGM2S48_20200129",85,"Grand Mesa",39.0155576353391,-108.139419336114,"2020-01-29",1.45,232.375,-4.09
"50","COGM2S6_20200211",89,"Grand Mesa",39.0218920979425,-108.197694487227,"2020-02-11",1.83333333333333,319.041666666667,-4.822
"51","COGM2S7_20200208",75,"Grand Mesa",39.0186600777927,-108.197787522482,"2020-02-08",1.75,281.142857142857,-4.62222222222222
"52","COGM2S9_20200205",70,"Grand Mesa",39.0211555115864,-108.192168523911,"2020-02-05",1.9375,272.2,-9.3
"53","COGM3N22_20200128",100,"Grand Mesa",39.032206546182,-108.186810312932,"2020-01-28",1.34375,247.5,-4.71666666666667
"54","COGM3N26_20200208",107,"Grand Mesa",39.0334145786603,-108.184232718284,"2020-02-08",1.33333333333333,291.621212121212,-3.36923076923077
"55","COGM3N53_20200128",110,"Grand Mesa",39.0293418909152,-108.143113814466,"2020-01-28",1,256.530303030303,-4
