,pit_id,HH,HV,VH,VV,height,grain_size,density,temperature
44,COGM2S45_20200210,0.10712830307082295,0.039235361930010954,0.03912021892486445,0.0805662955235959,91.0,2.0,268.625,-3.41
45,COGM9N29_20200130,0.13729248241946831,0.04887498197936675,0.0481329143505604,0.0985279961822271,120.0,1.875,254.090909090909,-4.75384615384615
46,COGM6S26_20200212,0.0902719509276437,0.03370955243880045,0.0345745337123375,0.07162150441372715,112.0,2.4375,296.833333333333,-4.99230769230769
47,COGM2C33_20200130,0.08658613620754346,0.035345347885908,0.03772402086710965,0.0732683850583413,98.0,2.5,278.222222222222,-5.25454545454545
48,COGM1N5_20200211,0.0764427169916217,0.02813935913345485,0.031713326296106445,0.06947493209696626,88.0,2.41666666666667,282.895833333333,-3.54
49,COGM6S53_20200206,0.10033065172453345,0.036923666678035205,0.0372151387508239,0.07753316090720115,101.0,1.46428571428571,252.6,-5.2
50,COGM6N18_20200128,0.0943909486524887,0.03414814328917255,0.0360191448985176,0.0785981971728517,92.0,1.1875,224.05,-7.27272727272727
51,COGM1N6_20200128,0.0764427169916217,0.02813935913345485,0.031713326296106445,0.06947493209696626,92.0,1.6875,236.85,-4.81666666666667
52,COGM9N42_20200204,0.1369444450814114,0.04826335323679125,0.04742695930077185,0.0989837709561669,115.0,1.28571428571429,256.909090909091,-6.01538461538462
53,COGM2S11_20200201,0.0597873745168442,0.0234599990934967,0.0280529507721638,0.05994795108136935,100.0,2.85,279.055555555556,-4.37272727272727
54,COGM1C5_20200212,0.0714910338951142,0.0226539359124373,0.025515188589388,0.0681664022019532,75.0,1.41666666666667,302.833333333333,-6.57777777777778
55,COGM1N3_20200211,0.11287382720676216,0.05036327994401185,0.05345114375154475,0.1058804305636087,67.0,2.20833333333333,259.714285714286,-5.2375
56,COGMCO_20200304_0921,0.14924056831092963,0.04958110832765775,0.04776910136841645,0.10356358989619704,101.0,1.875,262.5,-5.68333333333333
57,COGM3S38_20200201,0.0902719509276437,0.03370955243880045,0.0345745337123375,0.07162150441372715,108.0,1.25,281.45,-4.56666666666667
58,COGM1S1_20200129,0.0698521156428384,0.02764698345038845,0.0322210330504262,0.06952311406949715,83.0,1.75,238.722222222222,-4.81
59,COGM2S36_20200129,0.0902719509276437,0.03370955243880045,0.0345745337123375,0.07162150441372715,95.0,1.25,250.481481481481,-3.85454545454545
60,COGM1S12_20200211,0.0597873745168442,0.0234599990934967,0.0280529507721638,0.05994795108136935,90.0,2.39285714285714,298.1875,-5.33
61,COGM3S33_20200204,0.0902719509276437,0.03370955243880045,0.0345745337123375,0.07162150441372715,102.0,1.38888888888889,284.136363636364,-6.60833333333333
62,COGM6N31_20200130,0.13729248241946831,0.04887498197936675,0.0481329143505604,0.0985279961822271,102.0,1.46875,252.681818181818,-4.61666666666667
63,COGM5N19_20200128,0.0943909486524887,0.03414814328917255,0.0360191448985176,0.0785981971728517,102.0,1.3125,239.090909090909,-5.05
64,COGM2N14_20200211,0.0943909486524887,0.03414814328917255,0.0360191448985176,0.0785981971728517,96.0,1.5,296.722222222222,-5.24545454545455
65,COGM6N46_20200201,0.1263519910643822,0.0432197909609328,0.042805740381304205,0.09084752399752455,97.0,1.10714285714286,283.777777777778,-4.87272727272727
