,pit_id,depth,grain_size,site_name,latitude,longitude,date,height,density,temperature
75,COGM1N20_20200205,20.0,3.0,Grand Mesa,39.031261970372725,-108.1894813320662,2020-02-05,35.0,235.0,-9.3
76,COGM1N20_20200205,30.0,1.75,Grand Mesa,39.031261970372725,-108.1894813320662,2020-02-05,35.0,234.5,-11.8
78,COGM1N20_20200205,40.0,0.5,Grand Mesa,39.031261970372725,-108.1894813320662,2020-02-05,35.0,217.5,-18.1
79,COGM1N23_20200211,0.0,,Grand Mesa,39.03183566619117,-108.18637455013138,2020-02-11,68.0,,-2.7
80,COGM1N23_20200211,10.0,,Grand Mesa,39.03183566619117,-108.18637455013138,2020-02-11,68.0,271.0,-3.2
81,COGM1N23_20200211,20.0,1.5,Grand Mesa,39.03183566619117,-108.18637455013138,2020-02-11,68.0,288.0,-3.7
82,COGM1N23_20200211,30.0,3.0,Grand Mesa,39.03183566619117,-108.18637455013138,2020-02-11,68.0,297.5,-4.9
83,COGM1N23_20200211,40.0,,Grand Mesa,39.03183566619117,-108.18637455013138,2020-02-11,68.0,342.0,-6.4
84,COGM1N23_20200211,50.0,3.25,Grand Mesa,39.03183566619117,-108.18637455013138,2020-02-11,68.0,338.5,-7.4
86,COGM1N23_20200211,60.0,,Grand Mesa,39.03183566619117,-108.18637455013138,2020-02-11,68.0,296.5,-7.0
87,COGM1N23_20200211,70.0,0.5,Grand Mesa,39.03183566619117,-108.18637455013138,2020-02-11,68.0,224.0,-11.6
88,COGM1N3_20200211,0.0,,Grand Mesa,39.03378723541754,-108.21851302839987,2020-02-11,67.0,,-1.2
89,COGM1N3_20200211,10.0,3.0,Grand Mesa,39.03378723541754,-108.21851302839987,2020-02-11,67.0,252.0,-1.1
90,COGM1N3_20200211,20.0,3.0,Grand Mesa,39.03378723541754,-108.21851302839987,2020-02-11,67.0,276.5,-1.9
91,COGM1N3_20200211,30.0,3.0,Grand Mesa,39.03378723541754,-108.21851302839987,2020-02-11,67.0,262.5,-2.6
92,COGM1N3_20200211,40.0,,Grand Mesa,39.03378723541754,-108.21851302839987,2020-02-11,67.0,260.5,-4.7
93,COGM1N3_20200211,50.0,3.25,Grand Mesa,39.03378723541754,-108.21851302839987,2020-02-11,67.0,249.0,-7.3
95,COGM1N3_20200211,60.0,0.5,Grand Mesa,39.03378723541754,-108.21851302839987,2020-02-11,67.0,275.0,-11.3
96,COGM1N3_20200211,70.0,0.5,Grand Mesa,39.03378723541754,-108.21851302839987,2020-02-11,67.0,242.5,-11.8
97,COGM1N5_20200211,0.0,,Grand Mesa,39.03617520368139,-108.21137293658585,2020-02-11,88.0,,-0.3
98,COGM1N5_20200211,10.0,,Grand Mesa,39.03617520368139,-108.21137293658585,2020-02-11,88.0,,-0.7
99,COGM1N5_20200211,20.0,3.0,Grand Mesa,39.03617520368139,-108.21137293658585,2020-02-11,88.0,300.3333333333333,-1.5
100,COGM1N5_20200211,30.0,,Grand Mesa,39.03617520368139,-108.21137293658585,2020-02-11,88.0,315.5,-2.1
101,COGM1N5_20200211,40.0,,Grand Mesa,39.03617520368139,-108.21137293658585,2020-02-11,88.0,288.5,-2.8
102,COGM1N5_20200211,50.0,3.0,Grand Mesa,39.03617520368139,-108.21137293658585,2020-02-11,88.0,289.0,-3.8
103,COGM1N5_20200211,60.0,1.5,Grand Mesa,39.03617520368139,-108.21137293658585,2020-02-11,88.0,277.3333333333333,-5.3
